Year,x,q(x),l(x),d(x),L(x),T(x),e(x),D(x),M(x),A(x),N(x),a(x),12a(x)
2015,27,0.000573,98864,57,98836,5455722,55.18,48154,11728,0.2435,1385568,28.7735,339.78 
2015,28,0.000604,98807,60,98777,5356886,54.22,46862,11701,0.2497,1337414,28.5397,336.98 
2015,29,0.000636,98748,63,98716,5258109,53.25,45602,11673,0.2560,1290552,28.3004,334.10 
2015,30,0.000671,98685,66,98652,5159393,52.28,44375,11645,0.2624,1244951,28.0553,331.16 
2015,31,0.000710,98618,70,98583,5060741,51.32,43179,11616,0.2690,1200576,27.8045,328.15 
2015,32,0.000750,98548,74,98512,4962158,50.35,42014,11586,0.2758,1157396,27.5478,325.07 
2015,33,0.000794,98475,78,98435,4863646,49.39,40879,11555,0.2827,1115382,27.2850,321.92 
2015,34,0.000842,98396,83,98355,4765211,48.43,39773,11524,0.2897,1074503,27.0162,318.69 
2015,35,0.000898,98313,88,98269,4666856,47.47,38694,11491,0.2970,1034731,26.7411,315.39 
2015,36,0.000961,98225,94,98178,4568586,46.51,37643,11457,0.3044,996036,26.4599,312.02 
2015,37,0.001026,98131,101,98080,4470408,45.56,36618,11422,0.3119,958393,26.1725,308.57 
2015,38,0.001094,98030,107,97976,4372328,44.60,35619,11385,0.3196,921775,25.8787,305.04 
2015,39,0.001167,97923,114,97866,4274352,43.65,34645,11348,0.3275,886156,25.5784,301.44 
2015,40,0.001249,97809,122,97748,4176486,42.70,33695,11308,0.3356,851511,25.2715,297.76 
2015,41,0.001346,97686,131,97621,4078738,41.75,32768,11267,0.3439,817817,24.9580,294.00 
2015,42,0.001466,97555,143,97483,3981118,40.81,31863,11224,0.3523,785049,24.6380,290.16 
2015,43,0.001615,97412,157,97333,3883634,39.87,30980,11179,0.3608,753186,24.3119,286.24 
2015,44,0.001788,97255,174,97168,3786301,38.93,30117,11130,0.3696,722205,23.9800,282.26 
2015,45,0.001976,97081,192,96985,3689133,38.00,29273,11078,0.3784,692088,23.6428,278.21 
2015,46,0.002177,96889,211,96783,3592148,37.07,28447,11021,0.3874,662816,23.3002,274.10 
2015,47,0.002399,96678,232,96562,3495365,36.15,27639,10961,0.3966,634369,22.9523,269.93 
2015,48,0.002642,96446,255,96319,3398803,35.24,26847,10896,0.4059,606730,22.5992,265.69 
2015,49,0.002905,96191,279,96051,3302484,34.33,26073,10827,0.4153,579883,22.2411,261.39 
2015,50,0.003188,95912,306,95759,3206433,33.43,25313,10754,0.4248,553810,21.8782,257.04 
2015,51,0.003481,95606,333,95440,3110674,32.54,24569,10675,0.4345,528497,21.5105,252.63 
2015,52,0.003773,95273,359,95093,3015234,31.65,23840,10592,0.4443,503928,21.1378,248.15 
2015,53,0.004055,94914,385,94721,2920141,30.77,23126,10504,0.4542,480088,20.7599,243.62 
2015,54,0.004335,94529,410,94324,2825420,29.89,22426,10413,0.4643,456962,20.3760,239.01 
2015,55,0.004646,94119,437,93900,2731096,29.02,21742,10318,0.4746,434535,19.9858,234.33 
2015,56,0.004985,93682,467,93448,2637195,28.15,21072,10220,0.4850,412793,19.5895,229.57 
2015,57,0.005319,93215,496,92967,2543747,27.29,20416,10118,0.4956,391721,19.1870,224.74 
2015,58,0.005642,92719,523,92457,2450780,26.43,19773,10012,0.5063,371305,18.7780,219.84 
2015,59,0.005975,92196,551,91920,2358323,25.58,19145,9903,0.5173,351532,18.3616,214.84 
2015,60,0.006349,91645,582,91354,2266403,24.73,18530,9792,0.5284,332387,17.9375,209.75 
2015,61,0.006794,91063,619,90754,2175049,23.89,17929,9677,0.5398,313856,17.5060,204.57 
